"Air Quality Statistics by County, 2020",,,,,,,,,,,,
"Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and, for some pollutants, may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 5, 2021.",,,,,,,,,,,,
State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Arizona,Maricopa County,04013,3817117,3,ND,25,57,0.087,199,13.2,37,7
Arizona,Mohave County,04015,200186,ND,ND,ND,ND,ND,127,IN,IN,ND
Arizona,Navajo County,04017,107449,ND,ND,ND,ND,0.067,45,ND,ND,ND
Arizona,Pima County,04019,980263,1,ND,8,37,0.072,211,5.9,14,1
Arizona,Pinal County,04021,375770,ND,ND,ND,ND,0.08,624,15.5,41,ND
Arizona,Santa Cruz County,04023,47420,ND,ND,ND,ND,ND,128,10.2,32,ND
Arizona,Yavapai County,04025,211033,ND,ND,ND,ND,0.066,ND,IN,IN,ND
Arizona,Yuma County,04027,195751,ND,ND,ND,ND,0.067,179,9.1,23,ND
Arkansas,Arkansas County,05001,19019,ND,ND,ND,ND,ND,ND,7.2,17,ND
Arkansas,Ashley County,05003,21853,ND,ND,ND,ND,ND,ND,7.4,18,ND
Arkansas,Benton County,05007,221339,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Clark County,05019,22995,ND,ND,ND,ND,0.052,ND,ND,ND,ND
Arkansas,Craighead County,05031,96443,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Crittenden County,05035,50902,ND,ND,7,36,0.069,ND,7.5,17,ND
Arkansas,Faulkner County,05045,113237,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Garland County,05051,96024,ND,ND,ND,ND,ND,ND,8,19,ND
Arkansas,Jackson County,05067,17997,ND,ND,ND,ND,ND,ND,7.1,22,ND
Arkansas,Jefferson County,05069,77435,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Marion County,05089,16653,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Miller County,05091,43462,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Mississippi County,05093,46480,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Newton County,05101,8330,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Arkansas,Phillips County,05107,21757,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Polk County,05113,20662,ND,ND,ND,ND,0.058,ND,7.2,21,ND
Arkansas,Pope County,05115,61754,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Pulaski County,05119,382748,1,ND,7,36,0.064,35,9.7,24,5
Arkansas,Sebastian County,05131,125744,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Union County,05139,41639,ND,ND,ND,ND,ND,ND,8.5,22,ND
Arkansas,Washington County,05143,203065,ND,ND,ND,ND,0.055,33,6.9,16,ND
Arkansas,White County,05145,77076,ND,ND,ND,ND,ND,ND,IN,IN,ND
California,Alameda County,06001,1510271,2,ND,14,48,0.071,ND,11.8,65,5
California,Amador County,06005,38091,ND,ND,ND,ND,0.065,ND,ND,ND,ND
California,Butte County,06007,220000,4,ND,5,27,0.074,325,16,92,ND
California,Calaveras County,06009,45578,ND,ND,ND,ND,0.073,162,12.6,97,ND
California,Colusa County,06011,21419,ND,ND,ND,ND,0.052,210,12.2,104,ND
California,Contra Costa County,06013,1049025,2,ND,7,34,0.069,43,11.1,66,14
California,Del Norte County,06015,28610,ND,ND,ND,ND,ND,ND,IN,IN,ND
California,El Dorado County,06017,181058,ND,ND,ND,ND,0.086,169,IN,IN,ND
California,Fresno County,06019,930450,2,ND,20,54,0.09,320,20.3,124,5
California,Glenn County,06021,28122,ND,ND,ND,ND,0.056,152,ND,ND,ND
California,Humboldt County,06023,134623,2,ND,2,16,0.04,131,IN,IN,1
California,Imperial County,06025,174528,3,ND,10,51,0.08,190,12,34,7
California,Inyo County,06027,18546,1,ND,ND,ND,0.072,526,11.8,308,1
California,Kern County,06029,839631,1,ND,13,53,0.101,236,20.3,81,ND
California,Kings County,06031,152982,ND,ND,9,44,0.084,323,19.9,87,ND
California,Lake County,06033,64665,ND,ND,ND,ND,0.059,114,9.3,85,ND
California,Los Angeles County,06037,9818605,3,0.02,23,86,0.124,169,14.8,53,3
California,Madera County,06039,150865,ND,ND,6,29,0.085,314,16.9,88,ND
California,Marin County,06041,252409,2,ND,8,36,0.06,39,8.6,41,ND
California,Mariposa County,06043,18251,ND,ND,ND,ND,0.091,484,ND,ND,ND
California,Mendocino County,06045,87841,ND,ND,ND,ND,0.059,187,12.4,62,ND
California,Merced County,06047,255793,ND,ND,7,31,0.079,123,15.5,78,ND
California,Modoc County,06049,9686,ND,ND,ND,ND,ND,ND,IN,IN,ND
California,Mono County,06051,14202,ND,ND,ND,ND,ND,1955,40.3,453,ND
California,Monterey County,06053,415057,1,ND,4,25,0.057,218,8.8,64,ND
California,Napa County,06055,136484,2,ND,5,26,0.06,81,10.4,57,ND
California,Nevada County,06057,98764,ND,ND,ND,ND,0.08,ND,14.1,90,ND
California,Orange County,06059,3010232,2,ND,19,53,0.09,120,12.3,42,ND
California,Placer County,06061,348432,ND,ND,6,IN,0.083,213,13.4,93,ND
California,Plumas County,06063,20007,ND,ND,ND,ND,ND,ND,20.9,109,ND
California,Riverside County,06065,2189641,2,IN,15,54,0.104,359,14.7,40,2
California,Sacramento County,06067,1418788,2,ND,11,46,0.078,231,14.7,85,3
California,San Benito County,06069,55269,ND,ND,ND,ND,0.069,116,8.9,59,ND
California,San Bernardino County,06071,2035210,1,IN,29,78,0.125,205,15.1,43,5
California,San Diego County,06073,3095313,2,0.02,14,49,0.082,158,20.5,75,1
California,San Francisco County,06075,805235,2,ND,9,41,0.048,IN,10.5,40,ND
California,San Joaquin County,06077,685306,2,ND,11,54,0.068,226,14.8,92,ND
California,San Luis Obispo County,06079,269637,ND,ND,4,26,0.08,280,9.8,63,2
California,San Mateo County,06081,718451,2,ND,8,38,0.054,ND,9.8,46,ND
California,Santa Barbara County,06083,423895,1,ND,5,28,0.072,103,9.3,37,3
California,Santa Clara County,06085,1781642,2,IN,14,49,0.069,91,12.5,56,2
California,Santa Cruz County,06087,262382,ND,ND,ND,ND,0.048,ND,11,88,ND
California,Shasta County,06089,177223,ND,ND,ND,ND,0.069,100,10.2,66,ND
California,Siskiyou County,06093,44900,ND,ND,ND,ND,0.06,ND,10.9,85,ND
California,Solano County,06095,413344,2,ND,7,42,0.066,170,12,52,4
California,Sonoma County,06097,483878,2,ND,4,25,0.052,134,8.3,34,ND
California,Stanislaus County,06099,514453,2,ND,9,41,0.08,216,15.5,87,ND
California,Sutter County,06101,94737,ND,ND,6,38,0.083,246,16.4,91,ND
California,Tehama County,06103,63463,ND,ND,ND,ND,0.074,151,13.2,87,ND
California,Trinity County,06105,13786,ND,ND,ND,ND,ND,ND,IN,IN,ND
California,Tulare County,06107,442179,ND,ND,9,48,0.095,270,19.6,83,ND
California,Tuolumne County,06109,55365,ND,ND,ND,ND,0.08,ND,ND,ND,ND
California,Ventura County,06111,823318,ND,ND,7,34,0.085,162,7.9,32,ND
California,Yolo County,06113,200849,ND,ND,4,24,0.066,116,IN,134,ND
Colorado,Adams County,08001,441603,1,ND,16,57,0.078,113,9.8,28,6
Colorado,Arapahoe County,08005,572003,ND,ND,ND,ND,0.083,ND,6,24,ND
Colorado,Archuleta County,08007,12084,ND,ND,IN,IN,0.066,59,IN,IN,ND
Colorado,Boulder County,08013,294567,ND,ND,ND,ND,0.076,74,9.5,52,ND
Colorado,Clear Creek County,08019,9088,ND,ND,ND,ND,0.073,ND,ND,ND,ND
Colorado,Delta County,08029,30952,ND,ND,IN,IN,0.061,42,IN,IN,ND
Colorado,Denver County,08031,600158,2,ND,25,71,0.078,104,10.5,39,7
Colorado,Douglas County,08035,285465,ND,ND,ND,ND,0.083,ND,6.9,42,ND
Colorado,Elbert County,08039,23086,ND,ND,ND,ND,ND,ND,IN,IN,ND
Colorado,El Paso County,08041,622263,1,ND,ND,ND,0.079,50,6,21,9
Colorado,Fremont County,08043,46824,ND,ND,ND,ND,ND,IN,ND,ND,ND
Colorado,Garfield County,08045,56389,ND,ND,3,18,0.069,39,IN,IN,ND
Colorado,Gilpin County,08047,5441,ND,ND,ND,ND,0.077,ND,ND,ND,ND
Colorado,Gunnison County,08051,15324,ND,ND,ND,ND,0.066,ND,IN,IN,ND
Colorado,Jefferson County,08059,534543,ND,ND,2,25,0.087,ND,ND,ND,ND
Colorado,La Plata County,08067,51334,ND,ND,1,7,0.066,ND,IN,IN,ND
Colorado,Larimer County,08069,299630,1,ND,ND,ND,0.075,ND,8.1,47,ND
Colorado,Mesa County,08077,146723,ND,ND,ND,ND,0.065,71,6.1,20,ND
Colorado,Montezuma County,08083,25535,ND,ND,ND,ND,0.067,ND,IN,IN,ND
Colorado,Park County,08093,16206,ND,ND,ND,ND,ND,ND,IN,IN,ND
Colorado,Pitkin County,08097,17148,ND,ND,ND,ND,ND,51,ND,ND,ND
Colorado,Prowers County,08099,12551,ND,ND,ND,ND,ND,307,ND,ND,ND
Colorado,Pueblo County,08101,159063,ND,ND,ND,ND,ND,52,IN,IN,ND
Colorado,Rio Blanco County,08103,6666,ND,ND,2,26,0.065,ND,8.4,23,ND
Colorado,Routt County,08107,23509,ND,ND,ND,ND,ND,69,IN,IN,ND
Colorado,San Miguel County,08113,7359,ND,ND,ND,ND,ND,59,IN,IN,ND
Colorado,Weld County,08123,252825,1,ND,IN,IN,0.076,ND,9.8,37,ND
Connecticut,Fairfield County,09001,916829,ND,ND,8,39,0.077,48,8.1,25,3
Connecticut,Hartford County,09003,894014,1,ND,12,42,0.064,45,7.6,20,ND
Connecticut,Litchfield County,09005,189927,0,ND,ND,ND,0.063,29,5.1,13,1
Connecticut,Middlesex County,09007,165676,ND,ND,ND,ND,0.069,ND,ND,ND,ND
Connecticut,New Haven County,09009,862477,1,ND,11,45,0.08,66,8.2,23,2
Connecticut,New London County,09011,274055,ND,ND,ND,ND,0.071,59,6.9,17,ND
Connecticut,Tolland County,09013,152691,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Connecticut,Windham County,09015,118428,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Delaware,Kent County,10001,162310,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Delaware,New Castle County,10003,538479,1,ND,9,IN,0.063,ND,7.2,17,IN
Delaware,Sussex County,10005,197145,ND,ND,ND,ND,0.06,ND,IN,IN,IN
District of Columbia,District of Columbia,11001,601723,2,ND,12,45,0.063,46,7.8,21,4
Florida,Alachua County,12001,247336,ND,ND,ND,ND,0.06,ND,7.6,16,ND
Florida,Baker County,12003,27115,ND,ND,ND,ND,0.055,ND,ND,ND,ND
Florida,Bay County,12005,168852,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Florida,Brevard County,12009,543376,ND,ND,ND,ND,0.058,85,7.9,17,ND
Florida,Broward County,12011,1748066,1,ND,13,39,0.067,79,9.3,18,1
Florida,Citrus County,12017,141236,ND,ND,ND,ND,ND,ND,IN,IN,37
Florida,Collier County,12021,321520,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Florida,Columbia County,12023,67531,ND,ND,ND,ND,0.049,ND,ND,ND,ND
Florida,Duval County,12031,864263,1,ND,10,37,0.057,98,8.3,18,16
Florida,Escambia County,12033,297619,ND,ND,ND,ND,0.058,ND,9.7,20,4
Florida,Flagler County,12035,95696,ND,ND,ND,ND,0.053,ND,ND,ND,ND
Florida,Hamilton County,12047,14799,ND,ND,ND,ND,ND,ND,ND,ND,8
Florida,Highlands County,12055,98786,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Florida,Hillsborough County,12057,1229226,1,0.09,9,35,0.065,57,8.4,18,42
Florida,Holmes County,12059,19927,ND,ND,ND,ND,0.055,ND,ND,ND,ND
Florida,Indian River County,12061,138028,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Florida,Lake County,12069,297052,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Florida,Lee County,12071,618754,ND,ND,ND,ND,0.061,57,IN,IN,ND
Florida,Leon County,12073,275487,ND,ND,ND,ND,0.055,ND,7.5,18,ND
Florida,Liberty County,12077,8365,ND,ND,ND,ND,0.054,ND,ND,ND,ND
Florida,Manatee County,12081,322833,ND,ND,ND,ND,0.059,ND,IN,IN,7
Florida,Marion County,12083,331298,ND,ND,ND,ND,0.061,ND,IN,IN,ND
Florida,Martin County,12085,146318,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Florida,Miami-Dade County,12086,2496435,1,ND,9,34,0.06,87,7.7,16,1
Florida,Nassau County,12089,73314,ND,ND,ND,ND,ND,ND,ND,ND,60
Florida,Okaloosa County,12091,180822,ND,ND,ND,ND,0.056,55,ND,ND,ND
Florida,Orange County,12095,1145956,1,ND,3,IN,0.062,41,6.8,17,4
Florida,Osceola County,12097,268685,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Florida,Palm Beach County,12099,1320134,ND,ND,ND,ND,0.059,87,7.3,21,ND
Florida,Pasco County,12101,464697,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Florida,Pinellas County,12103,916542,1,ND,8,27,0.064,60,7.9,18,6
Florida,Polk County,12105,602095,ND,ND,ND,ND,0.062,47,8.4,19,13
Florida,Putnam County,12107,74364,ND,ND,ND,ND,ND,47,ND,ND,8
Florida,St. Lucie County,12111,277789,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Florida,Santa Rosa County,12113,151372,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Florida,Sarasota County,12115,379448,ND,ND,ND,ND,0.06,56,7.9,18,ND
Florida,Seminole County,12117,422718,ND,ND,ND,ND,0.06,43,7.3,16,ND
Florida,Volusia County,12127,494593,ND,ND,ND,ND,0.059,50,8.1,17,ND
Florida,Wakulla County,12129,30776,0,ND,ND,ND,0.055,ND,ND,ND,1
Georgia,Bibb County,13021,155547,ND,ND,ND,ND,0.054,ND,8.1,18,2
Georgia,Chatham County,13051,265128,ND,ND,ND,ND,0.054,ND,8.9,18,64
Georgia,Chattooga County,13055,26015,ND,ND,ND,ND,0.052,ND,ND,ND,ND
Georgia,Clarke County,13059,116714,ND,ND,ND,ND,0.056,ND,8.4,20,ND
Georgia,Clayton County,13063,259424,ND,ND,ND,ND,ND,ND,8.1,24,ND
Georgia,Cobb County,13067,688078,ND,ND,ND,ND,0.056,ND,8.2,24,ND
Georgia,Coffee County,13069,42356,ND,ND,ND,ND,ND,ND,6.8,16,ND
Georgia,Columbia County,13073,124053,ND,ND,ND,ND,0.052,ND,ND,ND,ND
Georgia,Dawson County,13085,22330,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Georgia,DeKalb County,13089,691893,1,ND,14,42,0.061,68,8.3,22,2
Georgia,Dougherty County,13095,94565,ND,ND,ND,ND,ND,ND,9.1,24,ND
Georgia,Douglas County,13097,132403,ND,ND,ND,ND,0.056,ND,ND,ND,ND
Georgia,Floyd County,13115,96317,ND,ND,ND,ND,ND,ND,IN,IN,11
Georgia,Fulton County,13121,920581,2,ND,16,41,0.063,33,9.5,25,3
Georgia,Glynn County,13127,79626,ND,ND,ND,ND,0.052,ND,IN,IN,ND
Georgia,Gwinnett County,13135,805321,ND,ND,ND,ND,0.066,ND,8.3,21,ND
Georgia,Hall County,13139,179684,ND,ND,ND,ND,ND,ND,8.7,19,ND
Georgia,Henry County,13151,203922,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Georgia,Houston County,13153,139900,ND,ND,ND,ND,ND,ND,8.9,21,ND
Georgia,Lowndes County,13185,109233,ND,ND,ND,ND,ND,ND,8,19,ND
Georgia,Murray County,13213,39628,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Georgia,Muscogee County,13215,189885,ND,0.01,ND,ND,0.053,ND,8.4,23,ND
Georgia,Paulding County,13223,142324,ND,ND,ND,ND,ND,ND,IN,IN,ND
Georgia,Pike County,13231,17869,ND,ND,ND,ND,0.054,ND,ND,ND,ND
Georgia,Richmond County,13245,200549,ND,ND,ND,ND,0.056,39,10.7,23,58
Georgia,Rockdale County,13247,85215,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Georgia,Sumter County,13261,32819,ND,ND,ND,ND,0.054,ND,ND,ND,ND
Georgia,Walker County,13295,68756,ND,ND,ND,ND,ND,ND,IN,IN,ND
Georgia,Washington County,13303,21187,ND,ND,ND,ND,ND,ND,8.7,21,ND
Georgia,Wilkinson County,13319,9563,ND,ND,ND,ND,ND,ND,IN,IN,ND
Hawaii,Hawaii County,15001,185079,ND,ND,ND,ND,ND,ND,3.5,10,274
Hawaii,Honolulu County,15003,953207,1,ND,3,26,0.045,38,3.9,7,57
Hawaii,Kauai County,15007,67091,ND,ND,3,34,ND,ND,IN,IN,4
Hawaii,Maui County,15009,154834,ND,ND,ND,ND,ND,ND,3.9,7,ND
Idaho,Ada County,16001,392365,2,ND,10,43,0.065,115,7.6,37,2
Idaho,Bannock County,16005,82839,ND,ND,ND,ND,0.065,114,IN,IN,47
Idaho,Benewah County,16009,9285,ND,ND,ND,ND,ND,ND,10.3,73,ND
Idaho,Boise County,16015,7028,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Bonner County,16017,40877,ND,ND,ND,ND,ND,291,IN,IN,ND
Idaho,Bonneville County,16019,104234,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Boundary County,16021,10972,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Butte County,16023,2891,ND,ND,ND,ND,0.066,ND,ND,ND,ND
Idaho,Canyon County,16027,188923,ND,ND,ND,ND,ND,142,10.6,49,ND
Idaho,Caribou County,16029,6963,ND,ND,ND,ND,ND,ND,IN,IN,44
Idaho,Franklin County,16041,12786,ND,ND,ND,ND,ND,ND,6.4,26,ND
Idaho,Gem County,16045,16719,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Idaho County,16049,16267,ND,ND,ND,ND,0.054,ND,IN,IN,ND
Idaho,Jerome County,16053,22374,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Kootenai County,16055,138494,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Latah County,16057,37244,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Lemhi County,16059,7936,ND,ND,ND,ND,ND,ND,10.8,38,ND
Idaho,Nez Perce County,16069,39265,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Power County,16077,7817,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Shoshone County,16079,12765,ND,ND,ND,ND,ND,236,11.1,34,ND
Idaho,Twin Falls County,16083,77230,ND,ND,ND,ND,ND,ND,IN,IN,ND
Idaho,Valley County,16085,9862,ND,ND,ND,ND,ND,ND,IN,IN,ND
Illinois,Adams County,17001,67103,ND,ND,ND,ND,0.064,ND,IN,IN,ND
Illinois,Champaign County,17019,201081,0,ND,ND,ND,0.069,ND,7.3,17,3
Illinois,Clark County,17023,16335,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Illinois,Cook County,17031,5194675,1,IN,16,50,0.079,149,10.8,23,14
Illinois,DuPage County,17043,916924,ND,ND,ND,ND,0.073,ND,9.1,21,ND
Illinois,Effingham County,17049,34242,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Illinois,Hamilton County,17065,8457,ND,ND,ND,ND,0.067,ND,8.8,17,ND
Illinois,Jersey County,17083,22985,ND,ND,ND,ND,0.062,ND,7.5,17,ND
Illinois,Jo Daviess County,17085,22678,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Illinois,Kane County,17089,515269,ND,ND,ND,ND,0.073,ND,8.4,21,ND
Illinois,Lake County,17097,703462,ND,ND,ND,ND,0.076,ND,IN,IN,ND
Illinois,LaSalle County,17099,113924,ND,ND,ND,ND,ND,ND,IN,IN,8
Illinois,McHenry County,17111,308760,ND,ND,ND,ND,0.076,ND,8.2,17,ND
Illinois,McLean County,17113,169572,ND,ND,ND,ND,0.07,ND,8.5,19,ND
Illinois,Macon County,17115,110768,ND,ND,ND,ND,0.065,ND,8.6,18,39
Illinois,Macoupin County,17117,47765,ND,ND,2,16,0.063,ND,IN,IN,3
Illinois,Madison County,17119,269282,ND,0.12,ND,ND,0.069,73,10.1,26,7
Illinois,Monroe County,17133,32957,ND,ND,ND,ND,ND,ND,ND,ND,10
Illinois,Peoria County,17143,186494,ND,ND,ND,ND,0.07,ND,IN,IN,ND
Illinois,Randolph County,17157,33476,ND,ND,ND,ND,0.061,ND,8.3,19,ND
Illinois,Rock Island County,17161,147546,ND,ND,ND,ND,0.063,ND,8.1,18,ND
Illinois,St. Clair County,17163,270056,ND,ND,9,39,0.065,ND,9.5,22,8
Illinois,Sangamon County,17167,197465,ND,ND,ND,ND,0.067,ND,7.6,18,ND
Illinois,Tazewell County,17179,135394,ND,ND,ND,ND,ND,ND,ND,ND,14
Illinois,Wabash County,17185,11947,ND,ND,ND,ND,ND,ND,ND,ND,49
Illinois,Will County,17197,677560,ND,ND,ND,ND,0.067,ND,9.8,21,ND
Illinois,Winnebago County,17201,295266,ND,ND,ND,ND,0.067,ND,9.1,21,ND
Indiana,Allen County,18003,355329,ND,ND,ND,ND,0.065,ND,8.3,18,ND
Indiana,Bartholomew County,18005,76794,ND,ND,ND,ND,0.065,ND,6.7,16,ND
Indiana,Boone County,18011,56640,ND,ND,ND,ND,0.069,ND,ND,ND,ND
Indiana,Brown County,18013,15242,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Indiana,Carroll County,18015,20155,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Indiana,Clark County,18019,110232,ND,ND,ND,ND,0.062,39,9.4,22,ND
Indiana,Daviess County,18027,31648,ND,ND,ND,ND,ND,ND,ND,ND,11
Indiana,Delaware County,18035,117671,ND,0.05,ND,ND,0.062,ND,8,17,ND
Indiana,Dubois County,18037,41889,ND,ND,ND,ND,ND,25,8.4,16,ND
Indiana,Elkhart County,18039,197559,ND,ND,ND,ND,0.062,ND,8.2,20,ND
Indiana,Floyd County,18043,74578,ND,ND,ND,ND,0.066,ND,IN,IN,5
Indiana,Gibson County,18051,33503,ND,ND,ND,ND,ND,ND,IN,IN,59
Indiana,Greene County,18055,33165,ND,ND,ND,ND,0.064,ND,7.5,17,ND
Indiana,Hamilton County,18057,274569,ND,ND,ND,ND,0.063,ND,9.4,20,ND
Indiana,Hendricks County,18063,145448,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Indiana,Henry County,18065,49462,ND,ND,ND,ND,ND,ND,7.3,16,ND
Indiana,Howard County,18067,82752,ND,ND,ND,ND,0.064,ND,6.7,15,ND
Indiana,Knox County,18083,38440,ND,ND,ND,ND,0.065,ND,IN,IN,ND
Indiana,Lake County,18089,496005,ND,0.05,IN,IN,0.074,59,9.6,20,32
Indiana,LaPorte County,18091,111467,ND,ND,ND,ND,0.079,ND,IN,IN,ND
Indiana,Madison County,18095,131636,ND,ND,ND,ND,0.059,ND,8.3,19,ND
Indiana,Marion County,18097,903393,2,ND,11,39,0.067,65,11,24,6
Indiana,Monroe County,18105,137974,ND,ND,ND,ND,ND,ND,7.4,18,ND
Indiana,Montgomery County,18107,38124,ND,ND,ND,ND,ND,ND,IN,IN,ND
Indiana,Perry County,18123,19338,ND,ND,ND,ND,0.065,ND,ND,ND,ND
Indiana,Porter County,18127,164343,ND,IN,ND,ND,0.076,64,IN,IN,81
Indiana,Posey County,18129,25910,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Indiana,St. Joseph County,18141,266931,ND,ND,4,IN,0.067,ND,9.1,22,ND
Indiana,Shelby County,18145,44436,ND,ND,ND,ND,0.061,ND,ND,ND,ND
